country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,California; Siskiyou County,,Chest Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=561,,
Japan,,,Chikushu Ana Cave,,,,,,72,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=40,,
China,Heilongjiang,,Chin Fue,,,,,,450,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=996,,
United States of America,Hawaii,Hawaii (Big Island),Christmas Cave,,,,,,500,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=931,,
United States of America,Washington; Skamania County,,Chubby Bunny Cave,,,,,,2205,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1630,,
United States of America,Oregon; Deschutes County,,Chuck Hole Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1245,,
Australia,Victoria,Mt. Napier,Church Cave,"H15, H16, H17",,,,,400,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1578,,
United States of America,California; San Bernardino,,Cima Cave,,,,,,85,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=450,,
United States of America,California; San Bernardino,Pisgah,CJ,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=314,,
United States of America,California; San Bernardino,Pisgah,CK,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=315,,
United States of America,Hawaii,Hawaii (Big Island),Clague's Cave,,,,,,1390,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=911,,
United States of America,New Mexico; Cibola County,,Classic Cave,,,,,,964,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1185,,
United States of America,Idaho; Jerome County,,Clay  Cave North,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1064,,
United States of America,Idaho; Jerome County,,Clay Cave South,,,,,,408,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1065,,
United States of America,Washington; Skamania County,,Clearcut Cave,,,,,,30,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1631,,
United States of America,Washington; Cowlitz County,,Cliff Cave,,,,,,15,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1600,,
United States of America,California; San Bernardino,Pisgah,CLST,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=316,,
United States of America,California; San Bernardino,Pisgah,CM,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=317,,
United States of America,California; San Bernardino,Pisgah,CN,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=318,,
United States of America,California; Siskiyou County,,Cnt. Pass. Freudian Complex,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=527,,
United States of America,Oregon,,Cody Borehole,,,,,,1284,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1320,,
United States of America,Hawaii,,Coffee Cave,,,,,,1135,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=944,,
United States of America,Washington; Skamania County,,COG Cave,,,,,,244,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1632,,
United States of America,California; Siskiyou County,,Coke Bottle Cave,,,,,,33,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=474,,
United States of America,Idaho; Bringham County,,College Cave,,,,,,25,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1003,,
United States of America,Washington; Skamania County,Mount St. Helens,Column Cave,,,,,,46,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1697,,
United States of America,Idaho; Bingham County,,Condor Pit,,,,,,180,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1004,,
United States of America,Washington; Skamania County,,Cone Pickers Cave,,,,,,30,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1633,,
United States of America,California; Siskiyou County,,Cooper's Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=563,,
United States of America,California; Siskiyou County,,Copper Rock Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=475,,
United States of America,Washington; Cowlitz County,,Cougar Cave,,,,,,45,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1601,,
United States of America,Washington; Skamania County,,Cougar Den Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1634,,
United States of America,Oregon; Deschutes County,,Covet Cave 1,,,,,,5,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1344,,
United States of America,Oregon; Deschutes County,,Covet Cave 2,,,,,,5,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1345,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Mammoth Crater,Cox Ice Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=564,,
United States of America,California; Siskiyou County,,Coyote Cave,,,,,,30,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=606,,
United States of America,Oregon; Malheur County,,Coyote Trap Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1228,,
United States of America,California; San Bernardino,Pisgah,CP,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=319,,
United States of America,California; San Bernardino,Pisgah,CQ,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=320,,
United States of America,California; San Bernardino,Pisgah,CR,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=321,,
United States of America,Oregon; Deschutes County,,Crab Walk Cave,,,,,,24,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1362,,
United States of America,California; Siskiyou County,,Craig Cave,,,,,,550,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=476,,
United States of America,California; Siskiyou County,,Cranefly Hole,,,,,,54,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=477,,
United States of America,California; Siskiyou County,,Crawfish Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=478,,
