cave-name-ascii,min-altitude,max-altitude,length-nr,vertical-extent-nr,number-of-entrances-nr,record-id
Skull Ice Cave,1388,1388,177,37,1,US-ee75f790b179d55268f574c051df0a82
L-800,1390,1390,45,23,1,US-7e10145f772b47a455f8e85a2a98aa4f
Big Painted Cave,1412,1412,81,20,,US-M-310
Incline Cave,1400,1400,197,22,2,US-M-340
M-475,1342,1342,45,22,1,US-1246ae69a07e646dbdda06a81b3a7c28
U-200,1554,1554,50,9,2,US-355020c3f031f232e7e5999f664b31db
Mauna Loa Ice Cave,,,235,,,US-b06fbb3d2b569e50f6cddc95cfb1b0f7
Arsia Cave,,,,,,US-c27a141b3ed15774f8fce43ce9287ed0
CRREL Permafrost Tunnel,,,110,,,US-cb3c09e5d1c49493e44c0dfc24e53d2c
Coudersport Ice Mine,,,12,,,US-27939248212a06e65449737dfe09a389
Navajo Cave,2268,2268,171,14,,US-22e9c379d377c2cf5c7077daf1b8f747
Decorah Ice Cave,,,,,,US-e7c0b2b905fbb73332799e2d542d96d0
Sam's Point Ice Cave,,,138,,,US-38cf4d625501ad57068dcbe50942a8ed
Xanadu Cave,,,422,,,US-9ee1bf6a9837a2e87b278db17e826bf1
Nigardsbreen Ice Cave,,,,,,NO-af21a4e82e8934926d3b950caf7345a3
Mendenhall Ice Cave,,,,,,US-0d730bc7b81960b98de61e9e99ee1cb5
Katla Ice Cave,,,,,,IS-2bcdc4c1d19710e9b8347c12b2309e0d
Warren Cave,,,,,,AQ-205d78676c8a795efc0b23f357cf46ae
Harrys Dream,,,,,,AQ-bed8338d3423a0aa110e3f6fd8c56cbf
Hubert's Nightmare,,,,,,AQ-5e80d9096c015d6b11396564d3df8878
Kachina Cave,,,,,,AQ-18c2372ef26450bfde9b269ae5353fd9
Worm Tongue,,,,,,AQ-169d701cbb76057277765590e4a8576d
Haggis Hole,,,,,,AQ-08d65f77be0684cfc62709e2011f7915
Helo Cave,,,,,,AQ-76c2ca34926534c65a475acdb178d151
Mammoth Cave,,,,,,AQ-92712f9b1a8c0ceeffba3c0120211272
Hut Cave,,,,,,AQ-84325cd271bd32cc7760ab856e9707d0
Heroine Cave,,,,,,AQ-e15608cc2355d1092454ca84a67e1082
Sauna Cave,,,,,,AQ-4eb9672a3b432abad12b6002714a123d
Helen's Hidden Hideaway,,,415,26,,US-c47d2c28cc163043041ac83ee0ccdb07
'D' Road Cave,,,3182,43,,US-801bc4749fd5a618dcbdf82e420c66ea
104 Landscape Rd.,,,300,,,NZ-10a86194da926969a73964b1206bcd88
104 Marsden Ave.,,,,,,NZ-98a4ab58ba59f84a74bada118227df45
113 Shackleton Rd.,,,,,,NZ-bc8c2ad2a8c72ce2c414925c110f4044
41 Kensington Ave.,,,,,,NZ-8bcadfed18c2d164e2fe2d441e2dc0dd
94 Shackleton Rd.,,,,,,NZ-f6f1d993ec103e809160325c432592e0
14-18 Series,,,3500,,8,KE-9b7f3efde6c91bdda06602fa4c7fd849
Cave 14,,,,,,KE-ba04cfe5af21652967b7d6a39aa563ce
ABC Cave,,,1000,,,KE-a9f5c3625d13b1df6523619656a2fe41
23-24 Series,,,1600,,,KE-3e228df88037e3ac7f8be745ef4bb1e8
10-9-6-36-37 Series,,,1300,,,KE-9f06905341f9c75a417cf5b971f5b187
34-35 Series,,,800,,,KE-095b4a6eb0c6858c8b7134d780eedc27
Cave 3,,,,,,KE-845a9bc7556335e99e9081798e87f084
Cave 12,,,650,,,KE-b20e6ae4cc915024ae239134fa2ce3c9
Cave 13,,,600,,,KE-58027c0a30087226e5337c14b143eb77
Cave 18,,,,,,KE-8884ed23a0c922752e9179ded40baeaa
Cave 20,,,,,,KE-0d1fc828e213f89b1dce44d93bcd2b7a
Cave 21,,,,,,KE-0f1d5faac223bdc767b6bf027cbf89f7
A,,,31,,,US-27bcab35b484e108a2e9f19f677c0378
A.M. Cave,,,,,,US-84c5e3fc7711929cfb157cb663552343
Accaregui's Cave,,,150,,,US-e92b8fe3f737e3d57f63569f28a1286a
Across-the-road Cave,,,,,,US-7e7ecc279c8723f0de099cb26462fb87
Adam's Homestead Cave,,,498,,,US-cbf7e97019b208aec2dcf44445d38793
Ainahou Ranch Cave,,,7110,352,,US-82e3365102b230cb2370aeaf4aa8fc97
Air Passage,,,,,,US-eb43054f1a826ac1c2de0f07e1c349c8
Airport Cave,,,5,,,US-c53084dbb51e8ceade5d393f62b94f4a
Alarming Extension,,,508,,,US-c00d19c7dc087be4079ed753387a521d
Algar do Bravo,400,400,323,29,,PT-91067d85ff46002039727e711907e320
Algar do Carvao,585,585,90,,,PT-624bbb05ca1bf8056c88948b8ee75d5f
Algar Nova,,,,,,PT-79d17d581ba5cfc72bc05ef868f2de64
Almost-A-Cave,,,610,,,US-0a86ba8fe833e461aec9b1722435f2b6
Niter Ice Cave,,,,,,US-4e939cee51ff8afebc0093419af01cc7
Amazing Pits Cave,,,132,,,US-ca280801e715191ddbcf8276db182421
Ambigua Cave,,,1764,293,,US-3c35d1f8cbe691af872a048638ad1ed7
Amboy Crater Caves,,,,,,US-d42569773734a7a5c2b968dc54b2675b
Ambury Rd. Cave,20,20,140,,,NZ-a6e9c00b9298b41ad2b4746943e65f2b
Amoeba Cave,,,,,,US-ff019cbe696749afa77c3e2ba8dd7e7a
Ampitheater Cave,,,,,,US-57a9c68c183a7b082820dfd7ffcf6ada
An Hufhuf (Cave of Many Bats),,,,,,FJ-b20bafc79a6413a638f33e14e8b78c55
An Mafiri Cave 1,,,102,,,FJ-d1f0d3fc369c814dd498031c11e53523
An Mafiri Cave 2,,,30,,,FJ-453bebbbb5a2b99eb1fd305fcdfb296a
Ana Kakena,30,30,55,,,CL-11b5ae5fd317884425dd140ddaaf36be
Ana o Keke,,,400,,,CL-83f8fb825e0300ac10e8641ef1f56dd0
Ana More Mata Puka,,,6,,,CL-e87410165ec6639e6cc15683d443cb0c
Ana Roa,35,35,,,,CL-d85fac409ff568525321d7fa34aafe5c
Ana Te Pahu,108,108,540,,,CL-76282f93453b76fa8752a72d730f4c81
Ana Te Pora,35,35,,,,CL-c90e5f583b44a268bea8142d95435985
Ana Heva,,,,,,CL-81f6c511ac409f968f8deee4af3103ad
Andanakaomby,,,400,,,MG-677cdee02a24a073697840748c450915
Andavakoera,,,400,,,MG-cd7c3eb754e9b5beee300267d181c1c7
Angleworm cave,,,,,,US-f0843497b968498d909640c686fc7df9
Animal Track Cave,,,46,,,US-2d8f1d14a89bed00813da3e31da6502c
