country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,California; Siskiyou County,Medicine Lake Highlands; Mammoth Crater; Lava Beds National Monument,Indian Well Cave,Indian Well Ice Cave,,,,,,,,http://npshistory.com/publications/geology/bul/1673/images/fig14.jpg; https://pubs.usgs.gov/bul/1673/plate-1.pdf,basalt,lava tunnel,lake(s),named after its ephemeral water pool,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=572; Waters et al. (1990) https://doi.org/10.3133/b1673,,
United States of America,Hawaii,Hawaii (Big Island),Dodge cave,,,,,,760,,,https://rpif.asu.edu/LTdatabase/images/dodge_cave.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=855,,
United States of America,Washington; Cowlitz County,Mount St. Helens,Dogwood Cave,,NSS-631-012,,,,186,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1602,,
United States of America,Washington; Skamania County,Mount St. Helens,Dollar-and-a-Dime Cave,,NSS-631-11,,,,366,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1698,,
United States of America,Hawaii; North Kona,Hawaii Island,Donkey Cave,,,,,,150,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=771,,
United States of America,Oregon; Deschutes County,Horse Lava Tube System,Doppleganger Cave,,,,,,30,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1361,,
United States of America,Washington; Skamania County,,Dot's Cave,,,,,,91,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1639,,
United States of America,California; Siskiyou County,Chimney,Double Barrel Cave,,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=528,,
United States of America,Oregon; Deschutes County,,Double Cave,,,,,,176,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1317,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Mammoth Crater,Dragon's Head Cave,,,,,,315,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=567,,
Iceland,,Eldhraun,Drílahellir,Driblet Cave,,,,,225,,,https://rpif.asu.edu/LTdatabase/images/Uppahellir_Drilahellir.jpg,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=184,,
United States of America,New Mexico; Cibola County,El Malpais,Dripping Lava Cave,,,,,,~600,,,,,lava tunnel,permanent ice,perpetual ice pond,,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=1203; S. Robinson, ""El Malpais, Mt. Taylor, and the Zuni Mountains: A Hiking Guide and History"" 1994",,
United States of America,Washington; Skamania County,,Dry Creek Cave,,NSS-633-27,,,,457,,,,,lava tunnel,,,,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=1640; Halliday (1963) ""Caves of Washington""",,
United States of America,Washington; Skamania County,,Dry Creek Cave Annex,,,,,,33,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1752,,
United States of America,Utah; Kane County,Markagunt Plateau,Duck Creek Lava Tube,,,,,,3674,,,https://rpif.asu.edu/LTdatabase/images/duck_creek_cave.jpg,basalt; limestone,lava tunnel,periodic ice,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1567,self-guided tourist cave,
United States of America,California; Siskiyou County,,Duffys Old Still Well,Duffys Well,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=481; Waters et al. (1990) https://doi.org/10.3133/b1673,,
United States of America,California; Siskiyou County,Medicine Lake Highlands,Dynamited Cave,Blasted Cave; Lemai Road Cave,NSS-633-50,,,,3763,,,,,lava tunnel,,,,,"https://rpif.asu.edu/LTdatabase/result.php?RECNO=482; Halliday (1963) ""Caves of Washington""",,
United States of America,California; Lassen County,,Eagle Lake Ice Cave,,,,,,53,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=441,,
United States of America,Hawaii; Ka'u District,Hawaii Island; Kilauea; Hilina Pali; Earthquake Tube System,Upper Earthquake Cave,,,,,,38,,,,basalt,lava tunnel,,,,,Kempe and Ketz-Kempe (1992) http://vulcanospeleology.org/sym06/ISV6x05.pdf,,
United States of America,Hawaii; Ka'u District,Hawaii Island; Kilauea; Hilina Pali; Earthquake Tube System,Earthquake Cave,,,,,,228,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=731; Kempe and Ketz-Kempe (1992) http://vulcanospeleology.org/sym06/ISV6x05.pdf; Kempe and Ketz-Kempe (1992) http://vulcanospeleology.org/sym06/ISV6x08.pdf,,
United States of America,Hawaii; Ka'u District,Hawaii Island; Kilauea; Hilina Pali; Earthquake Tube System,Lower Earthquake Cave,,,,,,64,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=731; Kempe and Ketz-Kempe (1992) http://vulcanospeleology.org/sym06/ISV6x05.pdf,,
United States of America,Oregon; Lane County,,Ectomonph Ice Cave,,,,,,61,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1313,,
